id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-abdn-accfin,英国,阿伯丁大学,236,Accounting & Finance MSc,会计与金融,78,80,82,84,74,6.5,5.5,,,官方要求 2:1 荣誉学位或同等学历（详见官方课程页）,官方入学要求：官方要求 2:1 荣誉学位或同等学历（详见官方课程页）；雅思总分 6.5（听5.5/读6.0/说5.5/写6.0），取自官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1/accounting-and-finance/,2026-07
uk-abdn-ai,英国,阿伯丁大学,236,Artificial Intelligence MSc,数据科学/AI,77,79,81,83,73,6.5,5.5,,,2:2 (lower second class) UK Honours level (or an Honours degree from a no,官方入学要求：2:2 (lower second class) UK Honours level (or an Honours degree from a no；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1034/artificial-intelligence/,2026-07
uk-abdn-biobiz,英国,阿伯丁大学,236,"Biotechnology, Bioinformatics & Bio-Business MSc",生物技术,78,80,82,84,74,6.5,5.5,,,2:2) or equivalent in a biological or biomedical science subject or a rel,官方入学要求：2:2) or equivalent in a biological or biomedical science subject or a rel；雅思总分 6.5（听5.5/读6.0/说5.5/写6.0），取自官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1036/msc-biotechnology-bioinformatics-and-bio-business/,2026-07
uk-abdn-mecheng,英国,阿伯丁大学,236,Advanced Mechanical Engineering MSc,机械工程,76,78,80,82,72,6.5,5.5,,,"2:2 UK Honours degree, or an Honours degree from a non-UK institution whi","官方入学要求：2:2 UK Honours degree, or an Honours degree from a non-UK institution whi；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1037/advanced-mechanical-engineering/,2026-07
uk-abdn-cheeng,英国,阿伯丁大学,236,Advanced Chemical Engineering MSc,化学工程,76,78,80,82,72,6.5,5.5,,,"2:2 UK Honours degree, or an Honours degree from a non-UK institution whi","官方入学要求：2:2 UK Honours degree, or an Honours degree from a non-UK institution whi；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1120/advanced-chemical-engineering/,2026-07
uk-abdn-structeng,英国,阿伯丁大学,236,Advanced Structural Engineering MSc,结构/土木工程,76,78,80,82,72,6.5,5.5,,,"2:2 Honours degree in Civil, Mechanical, Automotive, Aerospace, Energy or","官方入学要求：2:2 Honours degree in Civil, Mechanical, Automotive, Aerospace, Energy or；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1126/advanced-structural-engineering/,2026-07
uk-abdn-buslaw,英国,阿伯丁大学,236,Business Law & Sustainable Development LLM,商法/法律,78,80,82,84,74,6.5,5.5,,,2:2 honours degree (or equivalent) in Law will be required to be accepted,官方入学要求：2:2 honours degree (or equivalent) in Law will be required to be accepted；雅思总分 6.5（听5.5/读6.0/说5.5/写6.0），取自官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/1128/business-law-and-sustainable-development-with-dissertation/,2026-07
uk-abdn-archaeo,英国,阿伯丁大学,236,Archaeology MSc,考古学,78,80,82,84,74,6.5,5.5,,,"2:2 UK Honours degree, or an Honours degree from a non-UK institution whi","官方入学要求：2:2 UK Honours degree, or an Honours degree from a non-UK institution whi；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/17/archaeology/,2026-07
uk-abdn-anthro,英国,阿伯丁大学,236,Anthropological Research MSc,人类学,78,80,82,84,74,6.5,5.5,,,"2:2 UK Honours degree, or an Honours degree from a non-UK institution whi","官方入学要求：2:2 UK Honours degree, or an Honours degree from a non-UK institution whi；雅思总分 6.5（听5.5/读6.0/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/2077/anthropological-research/,2026-07
uk-abdn-biodiv,英国,阿伯丁大学,236,Biodiversity Conservation & Management MSc,生态/环境,78,80,82,84,74,6.5,5.5,,,"2:2 (lower second class) UK Honours degree in biological sciences, enviro","官方入学要求：2:2 (lower second class) UK Honours degree in biological sciences, enviro；雅思总分 6.5（听5.5/读5.5/说5.5/写6.0），取自官方课程页",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.abdn.ac.uk/study/postgraduate-taught/degree-programmes/2179/biodiversity-conservation/,2026-07
