id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-bath-cs,英国,巴斯大学,150,Computer Science MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:2 or above,官方入学要求：2:2 or above,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-computer-science/,2026-06
uk-bath-ai,英国,巴斯大学,150,Artificial Intelligence MSc,数据科学/AI,81,83,85,87,77,6.5,6.0,,,2:2 or above,官方入学要求：2:2 or above,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-artificial-intelligence/,2026-06
uk-bath-ds,英国,巴斯大学,150,Data Science MSc,数据科学/AI,81,83,85,87,77,6.5,6.0,,,2:2 or above,官方入学要求：2:2 or above,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-data-science/,2026-06
uk-bath-fin,英国,巴斯大学,150,Finance MSc,金融,82,84,86,87,78,6.5,6.0,,,2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,官方入学要求：2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-finance/,2026-06
uk-bath-accfin,英国,巴斯大学,150,Accounting and Finance MSc,会计,82,84,86,87,78,6.5,6.0,,,2:1 or above (or international equivalent) undergraduate degree depending on the institution attended,官方入学要求：2:1 or above (or international equivalent) undergraduate degree depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-accounting-and-finance/,2026-06
uk-bath-finbank,英国,巴斯大学,150,Finance with Banking MSc,金融,82,84,86,87,78,6.5,6.0,,,2:2 to 2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,官方入学要求：2:2 to 2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-finance-with-banking/,2026-06
uk-bath-finrisk,英国,巴斯大学,150,Finance with Risk Management MSc,金融工程,82,84,86,87,78,6.5,6.0,,,2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,官方入学要求：2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-finance-with-risk-management/,2026-06
uk-bath-mgmt,英国,巴斯大学,150,Management MSc,管理学/商科,82,84,86,87,78,6.5,6.0,,,2:2 to 2:1 or above depending on the institution attended,官方入学要求：2:2 to 2:1 or above depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-management/,2026-06
uk-bath-mkt,英国,巴斯大学,150,Marketing MSc,市场营销,81,83,85,86,77,6.5,6.0,,,2:2 to 2:1 or above depending on the institution attended,官方入学要求：2:2 to 2:1 or above depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-marketing/,2026-06
uk-bath-im,英国,巴斯大学,150,International Management MSc,管理学/商科,82,84,86,87,78,6.5,6.0,,,2:2 to 2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,官方入学要求：2:2 to 2:1 or above (or its international equivalent) undergraduate degree depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-international-management/,2026-06
uk-bath-ba,英国,巴斯大学,150,Business Analytics MSc,商业分析,82,84,86,87,78,6.5,6.0,,,2:2 to 2:1 or above depending on the institution attended,官方入学要求：2:2 to 2:1 or above depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-business-analytics/,2026-06
uk-bath-entre,英国,巴斯大学,150,Entrepreneurship and Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,2:2 to 2:1 or above depending on the institution attended,官方入学要求：2:2 to 2:1 or above depending on the institution attended,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-entrepreneurship-and-management/,2026-06
uk-bath-itm,英国,巴斯大学,150,Innovation and Technology Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,"2:2 or above in engineering, management or another relevant subject","官方入学要求：2:2 or above in engineering, management or another relevant subject",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.bath.ac.uk/courses/postgraduate-2026/taught-postgraduate-courses/msc-innovation-and-technology-management/,2026-06
