id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-gla-mst,英国,格拉斯哥大学,78,Management & Sustainable Tourism MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in any subject,官方入学要求：2.1 Hons (or non-UK equivalent) in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/managementsustainabletourism/,2026-07
uk-gla-mwe,英国,格拉斯哥大学,78,Management & Enterprise MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in any subject,官方入学要求：2.1 Hons (or non-UK equivalent) in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/managementwithenterprise/,2026-07
uk-gla-mhr,英国,格拉斯哥大学,78,Management with Human Resources MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in any subject,官方入学要求：2.1 Hons (or non-UK equivalent) in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/managementwithhumanresources/,2026-07
uk-gla-ihrm,英国,格拉斯哥大学,78,International HRM & Development MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,"2.1 Hons (or non-UK equivalent) in Business, Management, Engineering or a related Social","官方入学要求：2.1 Hons (or non-UK equivalent) in Business, Management, Engineering or a related Social",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/internationalhumanresourcemanagementdevelopment/,2026-07
uk-gla-hsm,英国,格拉斯哥大学,78,Health Service Management MSc,公共政策/管理,78,80,82,84,74,6.5,6.0,,,"2.1 Hons (or non-UK equivalent) in Medicine, Nursing, Dentistry, Pharmacy, or other Alli","官方入学要求：2.1 Hons (or non-UK equivalent) in Medicine, Nursing, Dentistry, Pharmacy, or other Alli",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/healthservicemanagement/,2026-07
uk-gla-cityplan,英国,格拉斯哥大学,78,City Planning MSc,土木/建筑,78,80,82,84,74,6.5,6.5,,,2.1 Hons (or non-UK equivalent) in a relevant Social Science or Humanities subject such,官方入学要求：2.1 Hons (or non-UK equivalent) in a relevant Social Science or Humanities subject such,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/city-planning/,2026-07
uk-gla-realestate,英国,格拉斯哥大学,78,Real Estate MSc,土木/建筑,78,80,82,84,74,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in Property-related subjects e,官方入学要求：2.1 Hons (or non-UK equivalent) in Property-related subjects e,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/realestate/,2026-07
uk-gla-stats,英国,格拉斯哥大学,78,Statistics MSc,数据科学/AI,80,82,84,86,76,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in a degree with a substantial Mathematics component (at,官方入学要求：2.1 Hons (or non-UK equivalent) in a degree with a substantial Mathematics component (at,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/statistics/,2026-07
uk-gla-quantum,英国,格拉斯哥大学,78,Quantum Technology MSc,电子/电气工程,79,81,83,85,75,6.5,6.0,,,"2.1 Hons (or non-UK equivalent) in Physical Sciences, Electronic and Electrical Engineer","官方入学要求：2.1 Hons (or non-UK equivalent) in Physical Sciences, Electronic and Electrical Engineer",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/quantumtechnology/,2026-07
uk-gla-erm,英国,格拉斯哥大学,78,Environmental Risk Management MSc,环境科学,78,80,82,84,74,6.5,6.0,,,"2.1 Hons (or non-UK equivalent) in any Science, Social Science, Engineering or Humanitie","官方入学要求：2.1 Hons (or non-UK equivalent) in any Science, Social Science, Engineering or Humanitie",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/environmentalriskmanagement/,2026-07
uk-gla-susenergy,英国,格拉斯哥大学,78,Sustainable Energy MSc,环境科学,78,80,82,84,74,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in any Engineering discipline or Physical Sciences/Mathe,官方入学要求：2.1 Hons (or non-UK equivalent) in any Engineering discipline or Physical Sciences/Mathe,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/sustainableenergy/,2026-07
uk-gla-museum,英国,格拉斯哥大学,78,Museum Studies MSc,设计/艺术,78,80,82,84,74,6.5,6.0,,,2.1 Hons (or non-UK equivalent) in any subject,官方入学要求：2.1 Hons (or non-UK equivalent) in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/museumstudies/,2026-07
uk-gla-tesol,英国,格拉斯哥大学,78,TESOL MSc,翻译/语言,79,81,83,85,75,6.5,6.5,,,"2.1 Hons (or non-UK equivalent) in English, Education, Applied Linguistics, Translation,","官方入学要求：2.1 Hons (or non-UK equivalent) in English, Education, Applied Linguistics, Translation,",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gla.ac.uk/postgraduate/taught/tesolmsc/,2026-07
