id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-gold-psyconv,英国,伦敦大学金史密斯学院,561,Psychology Conversion MSc,心理学,74,76,78,80,70,6.5,6.0,,,second class standard You might also be considered for some programmes if you aren,官方入学要求：second class standard You might also be considered for some programmes if you aren；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-psychology-conversion/,2026-07
uk-gold-cbt,英国,伦敦大学金史密斯学院,561,Cognitive Behavioural Therapy MSc,认知行为治疗,74,76,78,80,70,6.5,6.0,,,"2:2) or equivalent, plus other requirements","官方入学要求：2:2) or equivalent, plus other requirements；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-cognitive-behavioural-therapy/,2026-07
uk-gold-clinpsy,英国,伦敦大学金史密斯学院,561,Clinical Psychology & Health Services MSc,临床心理学,74,76,78,80,70,6.5,6.0,,,"second class standard in Psychology or a related subject (eg health studies, neuro","官方入学要求：second class standard in Psychology or a related subject (eg health studies, neuro；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-clinical-psychology-health-services/,2026-07
uk-gold-musicmind,英国,伦敦大学金史密斯学院,561,"Music, Mind & Brain MSc",音乐认知,74,76,78,80,70,6.5,6.0,,,second class standard in a relevant/related subject OR a background in music plus,官方入学要求：second class standard in a relevant/related subject OR a background in music plus；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-music-mind-brain/,2026-07
uk-gold-neuroaes,英国,伦敦大学金史密斯学院,561,"Psychology of the Arts, Neuroaesthetics & Creativity MSc",艺术心理学,74,76,78,80,70,6.5,6.0,,,"second class standard in psychology or a related subject (cognitive science, neuro","官方入学要求：second class standard in psychology or a related subject (cognitive science, neuro；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-psychology-arts-neuroaesthetics-creativity/,2026-07
uk-gold-digpol,英国,伦敦大学金史密斯学院,561,Digital Political Communications MA,政治传播,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-digital-political-communications/,2026-07
uk-gold-cultsj,英国,伦敦大学金史密斯学院,561,Cultural Studies & Social Justice MA,文化研究,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-cultural-studies-social-justice/,2026-07
uk-gold-childlit,英国,伦敦大学金史密斯学院,561,Children's Literature MA,儿童文学,74,76,78,80,70,6.5,6.0,,,second class standard in a related field,官方入学要求：second class standard in a related field；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-childrens-literature/,2026-07
uk-gold-filmscreen,英国,伦敦大学金史密斯学院,561,Film & Screen Studies MA,电影研究,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-film-screen-studies/,2026-07
uk-gold-gamesart,英国,伦敦大学金史密斯学院,561,Computer Games Art & Design MA,游戏艺术设计,74,76,78,80,70,6.5,6.0,,,官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）,官方入学要求：官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-computer-games-art-design/,2026-07
