id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-gold-dsai,英国,伦敦大学金史密斯学院,561,Data Science & Artificial Intelligence MSc,数据科学/AI,76,78,80,82,72,6.5,6.0,,,"2:2 standard or above in a subject such as computer science, mathematics,","官方入学要求：2:2 standard or above in a subject such as computer science, mathematics,；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-data-science-artificial-intelligence/,2026-07
uk-gold-appai,英国,伦敦大学金史密斯学院,561,Applied Artificial Intelligence MSc,人工智能,76,78,80,82,72,6.5,6.0,,,"2:1 in a science, technology, engineering, mathematical or other relevant","官方入学要求：2:1 in a science, technology, engineering, mathematical or other relevant；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-applied-artificial-intelligence/,2026-07
uk-gold-games,英国,伦敦大学金史密斯学院,561,Computer Games Programming MSc,游戏编程/CS,76,78,80,82,72,6.5,6.0,,,官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）,官方入学要求：官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-computer-games-programming/,2026-07
uk-gold-ux,英国,伦敦大学金史密斯学院,561,User Experience Engineering MSc,用户体验/CS,76,78,80,82,72,6.5,6.0,,,"2:2 standard in computing, psychology, design or related disciplines, and","官方入学要求：2:2 standard in computing, psychology, design or related disciplines, and；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-user-experience-engineering/,2026-07
uk-gold-mcb,英国,伦敦大学金史密斯学院,561,Marketing & Consumer Behaviour MSc,市场营销,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-marketing-consumer-behaviour/,2026-07
uk-gold-mktinno,英国,伦敦大学金史密斯学院,561,Marketing & Innovation MSc,市场营销/创新,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-marketing-innovation/,2026-07
uk-gold-forensic,英国,伦敦大学金史密斯学院,561,Forensic Psychology MSc,法务心理学,74,76,78,80,70,6.5,6.0,,,"second class standard in psychology or a similar relevant subject You could, for e","官方入学要求：second class standard in psychology or a similar relevant subject You could, for e；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-forensic-psychology/,2026-07
uk-gold-socres,英国,伦敦大学金史密斯学院,561,Social Research MSc,社会研究,74,76,78,80,70,6.5,6.0,,,second class standard in a relevant/related subject,官方入学要求：second class standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/msc-social-research/,2026-07
uk-gold-mediacom,英国,伦敦大学金史密斯学院,561,Media & Communications MA,传媒,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-media-communications/,2026-07
uk-gold-digmedia,英国,伦敦大学金史密斯学院,561,Digital Media MA,数字媒体,74,76,78,80,70,6.5,6.0,,,"second class standard in a relevant/related subject, as well as a level of practic","官方入学要求：second class standard in a relevant/related subject, as well as a level of practic；雅思总分 6.5、单项不低于 6.0（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-digital-media/,2026-07
uk-gold-brands,英国,伦敦大学金史密斯学院,561,"Brands, Communication & Culture MA",品牌传播,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-brands-communication-culture/,2026-07
uk-gold-luxury,英国,伦敦大学金史密斯学院,561,Luxury Brand Management MA,奢侈品品牌管理,74,76,78,80,70,6.5,6.0,,,second class standard or equivalent Industry experience would also be an advantage,官方入学要求：second class standard or equivalent Industry experience would also be an advantage；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-luxury-brand-management/,2026-07
uk-gold-compart,英国,伦敦大学金史密斯学院,561,Computational Arts MA,计算艺术,74,76,78,80,70,6.5,6.0,,,官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）,官方入学要求：官方要求英国二等荣誉学位（2:2）或同等学历（详见官方课程页）；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-computational-arts/,2026-07
uk-gold-pram,英国,伦敦大学金史密斯学院,561,"Public Relations, Advertising & Marketing MA",公关/广告,74,76,78,80,70,6.5,6.0,,,2:2 standard in a relevant/related subject,官方入学要求：2:2 standard in a relevant/related subject；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.gold.ac.uk/pg/ma-public-relations-advertising-marketing/,2026-07
