id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-lancaster-ds,英国,兰卡斯特大学,132,Data Science MSc,数据科学/AI,78,80,82,84,74,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/data-science-msc/,2026-06
uk-lancaster-ai,英国,兰卡斯特大学,132,Artificial Intelligence MSc,数据科学/AI,79,81,83,85,75,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/artificial-intelligence-msc/,2026-06
uk-lancaster-fin,英国,兰卡斯特大学,132,Finance MSc,金融,80,82,84,85,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/finance-msc/,2026-06
uk-lancaster-afm,英国,兰卡斯特大学,132,Accounting and Financial Management MSc,会计,80,82,84,85,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/accounting-and-financial-management-msc/,2026-06
uk-lancaster-mbf,英国,兰卡斯特大学,132,"Money, Banking and Finance MSc",金融,80,82,84,85,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/money-banking-and-finance-msc/,2026-06
uk-lancaster-qf,英国,兰卡斯特大学,132,Quantitative Finance MSc,金融工程,81,83,85,86,77,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/quantitative-finance-msc/,2026-06
uk-lancaster-mgmt,英国,兰卡斯特大学,132,Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/management-msc/,2026-06
uk-lancaster-mkt,英国,兰卡斯特大学,132,Marketing MSc,市场营销,80,82,84,86,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/marketing-msc/,2026-06
uk-lancaster-hrm,英国,兰卡斯特大学,132,Human Resource Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,,1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/human-resource-management-msc/,2026-06
uk-lancaster-pm,英国,兰卡斯特大学,132,Project Management MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,"国际 £30,000 / 1年",1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/project-management-msc/,2026-06
uk-lancaster-scm,英国,兰卡斯特大学,132,Logistics and Supply Chain Management MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,需 2:1 degree（国际等效）,官方入学要求：2:1 degree（英国 2:1 荣誉学位或国际等效）,,1 年,9 月/10 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/logistics-and-supply-chain-management-msc/,2026-06
