id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-leic-adveee,英国,莱斯特大学,240,Advanced Electrical and Electronic Engineering MSc,电子/电气工程,76,78,80,82,72,6.0,6.0,,,second class honours degree (or equivalent) in a relevant subject such as Electric,官方入学要求：second class honours degree (or equivalent) in a relevant subject such as Electric；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/advanced-electrical-and-electronic-engineering-msc/2025,2026-07
uk-leic-advme,英国,莱斯特大学,240,Advanced Mechanical Engineering MSc,机械工程,76,78,80,82,72,6.0,6.0,,,second class honours degree (or equivalent) in a relevant subject such as Mechanic,官方入学要求：second class honours degree (or equivalent) in a relevant subject such as Mechanic；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/advanced-mechanical-engineering-msc/2025,2026-07
uk-leic-advse,英国,莱斯特大学,240,Advanced Software Engineering MSc,计算机/CS,76,78,80,82,72,6.0,6.0,,,2:1 degree (or equivalent) in a relevant subject with a substantial eleme,官方入学要求：2:1 degree (or equivalent) in a relevant subject with a substantial eleme；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/advanced-software-engineering-msc/2025,2026-07
uk-leic-aibi,英国,莱斯特大学,240,AI for Business Intelligence MSc,数据科学/AI,77,79,81,83,73,6.0,6.0,,,2:2 degree in Maths or related subject (eg,官方入学要求：2:2 degree in Maths or related subject (eg；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/ai-for-business-intelligence-msc/2025,2026-07
uk-leic-embed,英国,莱斯特大学,240,Embedded Systems and Control Engineering MSc,电子/控制工程,76,78,80,82,72,6.0,6.0,,,second class honours degree (or equivalent) in a relevant subject,官方入学要求：second class honours degree (or equivalent) in a relevant subject；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/embedded-systems-and-control-engineering-msc/2025,2026-07
uk-leic-ib,英国,莱斯特大学,240,International Business MSc,管理学/商科,78,80,82,84,74,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/international-business-msc/2025,2026-07
uk-leic-mfa,英国,莱斯特大学,240,"Management, Finance and Accounting MSc",会计与金融,78,80,82,84,74,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/management-finance-and-accounting-msc/2025,2026-07
uk-leic-mem,英国,莱斯特大学,240,Master of Engineering Management MEM,工程管理,77,79,81,83,73,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/master-of-engineering-management-mem/2025,2026-07
uk-leic-gmc,英国,莱斯特大学,240,Global Media and Communication MA,传媒,78,80,82,84,74,6.5,6.5,,,2:2 degree or equivalent professional qualification,官方入学要求：2:2 degree or equivalent professional qualification；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/global-media-and-communication-ma/2025,2026-07
uk-leic-madv,英国,莱斯特大学,240,Media and Advertising MA,传媒,78,80,82,84,74,6.5,6.5,,,2:2 degree or equivalent professional qualification,官方入学要求：2:2 degree or equivalent professional qualification；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/media-and-advertising-ma/2025,2026-07
uk-leic-dms,英国,莱斯特大学,240,Digital Media and Society MA,传媒,78,80,82,84,74,6.5,6.5,,,2:2 degree or equivalent professional qualification,官方入学要求：2:2 degree or equivalent professional qualification；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/digital-media-and-society-ma/2025,2026-07
uk-leic-scid,英国,莱斯特大学,240,"Security, Conflict and International Development MA",国际关系/政治,78,80,82,84,74,6.5,6.5,,,"2:1 degree or equivalent in Politics, History, International Relations or","官方入学要求：2:1 degree or equivalent in Politics, History, International Relations or；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/security-conflict-and-international-development-ma/2025,2026-07
