id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-leic-advcs,英国,莱斯特大学,240,Advanced Computer Science MSc,计算机/CS,76,78,80,82,72,6.0,6.0,,,2:1 degree (or equivalent) in a relevant subject with a substantial eleme,官方入学要求：2:1 degree (or equivalent) in a relevant subject with a substantial eleme；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/advanced-computer-science-msc/2025,2026-07
uk-leic-ai,英国,莱斯特大学,240,Artificial Intelligence MSc,数据科学/AI,77,79,81,83,73,6.0,6.0,,,2:1 degree (or equivalent) in a relevant subject with a substantial eleme,官方入学要求：2:1 degree (or equivalent) in a relevant subject with a substantial eleme；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/artificial-intelligence-msc/2025,2026-07
uk-leic-ds,英国,莱斯特大学,240,Data Science MSc,数据科学/AI,77,79,81,83,73,6.0,6.0,,,2:1 degree (or equivalent) in any subject,官方入学要求：2:1 degree (or equivalent) in any subject；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/data-science-msc/2025,2026-07
uk-leic-cloud,英国,莱斯特大学,240,Cloud Computing MSc,计算机/CS,76,78,80,82,72,6.0,6.0,,,2:1 degree (or equivalent) in a relevant subject with a substantial eleme,官方入学要求：2:1 degree (or equivalent) in a relevant subject with a substantial eleme；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/cloud-computing-msc/2025,2026-07
uk-leic-fin,英国,莱斯特大学,240,Finance MSc,金融,78,80,82,84,74,6.5,6.5,,,second class honours degree or equivalent from a recognised university,官方入学要求：second class honours degree or equivalent from a recognised university；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/finance-msc/2025,2026-07
uk-leic-ba,英国,莱斯特大学,240,Business Analytics MSc,商业分析,78,80,82,84,74,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/business-analytics-msc/2025,2026-07
uk-leic-mgmt,英国,莱斯特大学,240,Management MSc,管理学/商科,78,80,82,84,74,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/management-msc/2025,2026-07
uk-leic-mkt,英国,莱斯特大学,240,Marketing MSc,市场营销,78,80,82,84,74,6.5,6.5,,,官方要求 2:1/2:2 荣誉学位（详见官方课程页）,官方入学要求：官方要求 2:1/2:2 荣誉学位（详见官方课程页）；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/marketing-msc/2025,2026-07
uk-leic-law,英国,莱斯特大学,240,Law LLM,法律(LLM),78,80,82,84,74,6.5,6.5,,,second class degree or an equivalent degree in an appropriate discipline,官方入学要求：second class degree or an equivalent degree in an appropriate discipline；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/law-llm/2025,2026-07
uk-leic-comlaw,英国,莱斯特大学,240,International Commercial Law LLM,法律(LLM),78,80,82,84,74,6.5,6.5,,,second class degree or an equivalent degree in an appropriate discipline,官方入学要求：second class degree or an equivalent degree in an appropriate discipline；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/international-commercial-law-llm/2025,2026-07
uk-leic-aero,英国,莱斯特大学,240,Aerospace Engineering MSc,机械工程,76,78,80,82,72,6.0,6.0,,,second class honours degree (or equivalent) in a relevant subject such as Aerospac,官方入学要求：second class honours degree (or equivalent) in a relevant subject such as Aerospac；雅思总分 6.0（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/aerospace-engineering-msc/2025,2026-07
uk-leic-media,英国,莱斯特大学,240,Communication and Media MA,传媒,78,80,82,84,74,6.5,6.5,,,2:2 degree or equivalent professional qualification,官方入学要求：2:2 degree or equivalent professional qualification；雅思总分 6.5（官方课程页只公布总分，小分标准以语言中心为准）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://le.ac.uk/courses/communication-and-media-ma/2025,2026-07
