id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-liverpool-ds-ai,英国,利物浦大学,165,Data Science and Artificial Intelligence MSc,数据科学/AI,78,80,82,84,74,6.5,5.5,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/data-science-and-artificial-intelligence-msc,2026-06
uk-liverpool-ds-comm,英国,利物浦大学,165,Data Science and Communication MSc,数据科学/AI,78,80,82,84,74,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/data-science-and-communication-msc,2026-06
uk-liverpool-cs,英国,利物浦大学,165,Computer Science MSc,计算机/CS,78,80,82,84,74,6.5,5.5,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/computer-science-msc,2026-06
uk-liverpool-acs,英国,利物浦大学,165,Advanced Computer Science MSc,计算机/CS,79,81,83,85,75,6.5,5.5,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/advanced-computer-science-msc,2026-06
uk-liverpool-fin,英国,利物浦大学,165,Finance MSc,金融,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/finance-msc,2026-06
uk-liverpool-fintech,英国,利物浦大学,165,Financial Technology MSc,金融工程,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/financial-technology-msc,2026-06
uk-liverpool-econ,英国,利物浦大学,165,Economics MSc,经济学,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/economics-msc,2026-06
uk-liverpool-acc,英国,利物浦大学,165,Accounting and Finance MSc,会计,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/accounting-and-finance-msc,2026-06
uk-liverpool-ba,英国,利物浦大学,165,Business Analytics and Big Data MSc,商业分析,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/business-analytics-and-big-data-msc,2026-06
uk-liverpool-mkt,英国,利物浦大学,165,Marketing MSc,市场营销,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/marketing-msc,2026-06
uk-liverpool-hrm,英国,利物浦大学,165,Human Resource Management MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/human-resource-management-msc,2026-06
uk-liverpool-ib,英国,利物浦大学,165,International Business MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/international-business-msc,2026-06
uk-liverpool-scm,英国,利物浦大学,165,Operations and Supply Chain Management MSc,管理学/商科,79,81,83,85,75,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/operations-and-supply-chain-management-msc,2026-06
uk-liverpool-env,英国,利物浦大学,165,Environmental Sciences MSc,环境科学,78,80,82,84,74,6.5,6.0,,,"2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution","官方入学要求：2:2 honours degree from a UK university, or an equivalent academic qualification from a similar non-UK institution",,1 年,9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.liverpool.ac.uk/courses/2026/environmental-sciences-msc,2026-06
