id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-man-advmat,英国,曼彻斯特大学,34,Advanced Engineering Materials MSc,材料工程,78,80,82,84,74,6.5,6.0,,,Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,官方入学要求：Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/04169/msc-advanced-engineering-materials/,2026-07
uk-man-eps,英国,曼彻斯特大学,34,Electrical Power Systems Engineering MSc,电子/电气工程,78,80,82,84,74,6.5,6.0,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/07875/msc-electrical-power-systems-engineering/,2026-07
uk-man-adveps,英国,曼彻斯特大学,34,Advanced Electrical Power Systems Engineering MSc,电子/电气工程,78,80,82,84,74,6.5,6.0,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/09718/msc-advanced-electrical-power-systems-engineering/,2026-07
uk-man-csp,英国,曼彻斯特大学,34,Communications and Signal Processing MSc,通信工程,78,80,82,84,74,6.5,6.0,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/12034/msc-communications-and-signal-processing/,2026-07
uk-man-cspext,英国,曼彻斯特大学,34,Communications and Signal Processing (Extended Research) MSc,通信工程,78,80,82,84,74,6.5,6.0,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/12727/msc-communications-and-signal-processing-with-extended-research/,2026-07
uk-man-nano,英国,曼彻斯特大学,34,Nanomaterials MSc,材料工程,78,80,82,84,74,6.5,6.0,,,Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,官方入学要求：Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/11998/msc-nanomaterials/,2026-07
uk-man-polymer,英国,曼彻斯特大学,34,Polymer Materials Science and Engineering MSc,材料工程,78,80,82,84,74,6.5,6.0,,,Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,官方入学要求：Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/04380/msc-polymer-materials-science-and-engineering/,2026-07
uk-man-biomat,英国,曼彻斯特大学,34,Biomaterials MSc,材料工程,78,80,82,84,74,6.5,6.0,,,Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,官方入学要求：Bachelor’s (with Honours) in engineering/technology plus further learning of an accredited Master’s - such as this MSc,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/08839/msc-biomaterials/,2026-07
uk-man-hds,英国,曼彻斯特大学,34,Health Data Science MSc,数据科学/AI,80,82,84,86,76,6.5,6.5,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/10076/msc-health-data-science/,2026-07
uk-man-mathfin,英国,曼彻斯特大学,34,Mathematical Finance MSc,金融工程,82,84,86,88,78,6.5,6.5,,,官方要求学士学位（详见官方课程页）,入学要求见官方课程页,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.manchester.ac.uk/study/masters/courses/list/02250/msc-mathematical-finance/,2026-07
