id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-nottingham-ds,英国,诺丁汉大学,97,Data Science MSc,数据科学/AI,79,81,83,85,75,6.5,6.0,,,2:1 (or international equivalent) with an affinity for programming and/or advanced statistics evidenced through prior study or practical experience detailed in the,官方入学要求：2:1 (or international equivalent) with an affinity for programming and/or advanced statistics evidenced through prior study or practical experience detailed in the,,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/data-science-msc,2026-06
uk-nottingham-mlsci,英国,诺丁汉大学,97,Machine Learning in Science MSc,数据科学/AI,80,82,84,86,76,6.5,6.0,,,,入学要求见官方课程页,,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/machine-learning-in-science-msc,2026-06
uk-nottingham-hci,英国,诺丁汉大学,97,Human-Computer Interaction MSc,计算机/CS,79,81,83,85,75,6.5,6.0,,,"2:1 (or international equivalent) in a computer science, engineering, natural sciences, social sciences or art and design subject","官方入学要求：2:1 (or international equivalent) in a computer science, engineering, natural sciences, social sciences or art and design subject",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/human-computer-interaction-msc,2026-06
uk-nottingham-econ,英国,诺丁汉大学,97,Economics MSc,经济学,80,82,84,86,76,6.5,6.0,,,"2:1 (or international equivalent) in a discipline with significant economics content, including microeconomics, macroeconomics, statistics and econometrics modules","官方入学要求：2:1 (or international equivalent) in a discipline with significant economics content, including microeconomics, macroeconomics, statistics and econometrics modules",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/economics-msc,2026-06
uk-nottingham-ba,英国,诺丁汉大学,97,Business Analytics MSc,商业分析,80,82,84,85,76,6.5,6.0,,,"2:1 (or international equivalent) in any discipline; applicants should not have previously studied a significant amount of business analytics, but must have a stro","官方入学要求：2:1 (or international equivalent) in any discipline; applicants should not have previously studied a significant amount of business analytics, but must have a stro",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/business-analytics-msc,2026-06
uk-nottingham-banking,英国,诺丁汉大学,97,Banking and Finance MSc,金融,80,82,84,85,76,6.5,6.0,,,"2:1 (or international equivalent) in accounting, business, economics, computing, engineering, mathematics, physics, science, or any other degree with a mathematics","官方入学要求：2:1 (or international equivalent) in accounting, business, economics, computing, engineering, mathematics, physics, science, or any other degree with a mathematics",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/banking-and-finance-msc,2026-06
uk-nottingham-acc,英国,诺丁汉大学,97,Accounting and Finance MSc,会计,80,82,84,85,76,6.5,6.0,,,"2:1 (or international equivalent) in accounting, auditing, financial management, or another subject with a substantial proportion of accounting study","官方入学要求：2:1 (or international equivalent) in accounting, auditing, financial management, or another subject with a substantial proportion of accounting study",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/accounting-and-finance-msc,2026-06
uk-nottingham-mgmt,英国,诺丁汉大学,97,Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,"2:1 (or international equivalent) in any discipline, excluding business and/or management  2:1 (or international equivalent) in any discipline,","官方入学要求：2:1 (or international equivalent) in any discipline, excluding business and/or management  2:1 (or international equivalent) in any discipline,",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/management-msc,2026-06
uk-nottingham-bm,英国,诺丁汉大学,97,Business and Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,"2:1 (or international equivalent) in business studies, economics or management  2:1 (or international equivalent) in business studies, economic","官方入学要求：2:1 (or international equivalent) in business studies, economics or management  2:1 (or international equivalent) in business studies, economic",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/business-and-management-msc,2026-06
uk-nottingham-ib,英国,诺丁汉大学,97,International Business MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,"2:1 (or international equivalent) in any discipline, excluding business and/or management  2:1 (or international equivalent) in any discipline,","官方入学要求：2:1 (or international equivalent) in any discipline, excluding business and/or management  2:1 (or international equivalent) in any discipline,",,1 年,多为 9 月入学；国际生滚动审理、招满即止，建议尽早递交（以官网 How to apply 为准）,https://www.nottingham.ac.uk/pgstudy/course/taught/international-business-msc,2026-06
