id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-plym-fin,英国,普利茅斯大学,651,Finance MSc,金融,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-finance,2026-07
uk-plym-dsba,英国,普利茅斯大学,651,Data Science & Business Analytics MSc,数据科学/商业分析,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-data-science-and-business-analytics,2026-07
uk-plym-cyber,英国,普利茅斯大学,651,Cyber Security MSc,网络安全,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-cyber-security,2026-07
uk-plym-ai,英国,普利茅斯大学,651,Artificial Intelligence MSc,人工智能,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-artificial-intelligence,2026-07
uk-plym-robotics,英国,普利茅斯大学,651,Robotics MSc,机器人,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-robotics,2026-07
uk-plym-civil,英国,普利茅斯大学,651,Civil Engineering MSc,土木工程,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-civil-engineering,2026-07
uk-plym-envcon,英国,普利茅斯大学,651,Environmental Consultancy MSc,环境咨询,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-environmental-consultancy,2026-07
uk-plym-marine,英国,普利茅斯大学,651,Marine Conservation MSc,海洋保护,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-marine-conservation,2026-07
uk-plym-tourism,英国,普利茅斯大学,651,Tourism & Hospitality Management MSc,旅游/酒店管理,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-tourism-and-hospitality-management,2026-07
uk-plym-sustenv,英国,普利茅斯大学,651,Sustainable Environmental Management MSc,可持续环境管理,74,76,78,80,70,6.5,5.5,,,官方要求相关专业荣誉学位或同等学历（详见官方课程页）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；入学学位要求见官方页面,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.plymouth.ac.uk/courses/postgraduate/msc-sustainable-environmental-management,2026-07
