id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-qub-finance,英国,贝尔法斯特女王大学 QUB,202,Finance MSc,金融,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/finance-msc/,2026-07
uk-qub-fintrading,英国,贝尔法斯特女王大学 QUB,202,Finance and Trading MSc,金融,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/finance-trading-msc/,2026-07
uk-qub-frm,英国,贝尔法斯特女王大学 QUB,202,Financial Risk Management MSc,金融风险,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/financial-risk-management-msc/,2026-07
uk-qub-finanalytics,英国,贝尔法斯特女王大学 QUB,202,Financial Analytics MSc,金融/数据分析,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/financial-analytics-msc/,2026-07
uk-qub-accfin,英国,贝尔法斯特女王大学 QUB,202,"Accounting, Finance and Analytics MSc",会计与金融,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/accounting-finance-analytics-msc/,2026-07
uk-qub-ba,英国,贝尔法斯特女王大学 QUB,202,Business Analytics MSc,商业分析,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/business-analytics-msc/,2026-07
uk-qub-ai,英国,贝尔法斯特女王大学 QUB,202,Artificial Intelligence MSc,人工智能,76,79,81,83,72,6.0,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/artificial-intelligence-msc/,2026-07
uk-qub-da,英国,贝尔法斯特女王大学 QUB,202,Data Analytics MSc,数据分析,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/data-analytics-msc/,2026-07
uk-qub-cyber,英国,贝尔法斯特女王大学 QUB,202,Applied Cyber Security MSc,网络安全,76,79,81,83,72,6.0,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.0、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/applied-cyber-security-msc/,2026-07
uk-qub-digmkt,英国,贝尔法斯特女王大学 QUB,202,Digital Marketing and Analytics MSc,数字营销,76,79,81,83,72,6.5,5.5,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 5.5（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.qub.ac.uk/courses/postgraduate-taught/digital-marketing-analytics-msc/,2026-07
