id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-shef-civil,英国,谢菲尔德大学,105,Civil Engineering MSc,土木/建筑,78,80,82,84,74,6.5,6.0,,,2:1 undergraduate honours degree in any engineering or science subject which meets,官方入学要求：2:1 undergraduate honours degree in any engineering or science subject which meets,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/civil-engineering-msc,2026-07
uk-shef-aero,英国,谢菲尔德大学,105,Aerospace Engineering MSc,机械工程,78,80,82,84,74,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject with relevant modules,官方入学要求：2:1 undergraduate honours degree in a relevant subject with relevant modules,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/aerospace-engineering-msc,2026-07
uk-shef-mat,英国,谢菲尔德大学,105,Materials Science and Engineering MSc,材料工程,78,80,82,84,74,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject with relevant modules,官方入学要求：2:1 undergraduate honours degree in a relevant subject with relevant modules,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/materials-science-and-engineering-msc,2026-07
uk-shef-advmech,英国,谢菲尔德大学,105,Advanced Mechanical Engineering MSc,机械工程,78,80,82,84,74,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject with relevant modules,官方入学要求：2:1 undergraduate honours degree in a relevant subject with relevant modules,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/advanced-mechanical-engineering-msc,2026-07
uk-shef-cyberai,英国,谢菲尔德大学,105,Cybersecurity and Artificial Intelligence MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject,官方入学要求：2:1 undergraduate honours degree in a relevant subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/cybersecurity-and-artificial-intelligence-msc,2026-07
uk-shef-ai,英国,谢菲尔德大学,105,Artificial Intelligence MSc,数据科学/AI,81,83,85,87,77,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject,官方入学要求：2:1 undergraduate honours degree in a relevant subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/artificial-intelligence-msc,2026-07
uk-shef-robotics,英国,谢菲尔德大学,105,Robotics MSc,计算机/CS,80,82,84,86,76,6.5,6.0,,,2:1 undergraduate honours degree in a relevant subject with relevant modules,官方入学要求：2:1 undergraduate honours degree in a relevant subject with relevant modules,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/robotics-msc,2026-07
uk-shef-mbf,英国,谢菲尔德大学,105,"Money, Banking and Finance MSc",金融,81,83,85,87,77,6.5,6.0,,,2:1 undergraduate honours degree in economics or a degree which meets the module re,官方入学要求：2:1 undergraduate honours degree in economics or a degree which meets the module re,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/money-banking-and-finance-msc,2026-07
uk-shef-mgmt,英国,谢菲尔德大学,105,Management MSc,管理学/商科,80,82,84,86,76,6.5,6.0,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/management-msc,2026-07
uk-shef-im,英国,谢菲尔德大学,105,Information Management MSc,信息系统/IT,79,81,83,85,75,6.5,6.0,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/information-management-msc,2026-07
uk-shef-journ,英国,谢菲尔德大学,105,Journalism MA,传媒,80,82,84,86,76,7.5,7.0,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/journalism-ma,2026-07
