id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-sheffield-cs,英国,谢菲尔德大学,105,Computer Science MSc,计算机/CS,78,80,82,84,74,6.5,6,,,2:1 undergraduate honours degree in a non-computing subject,官方入学要求：2:1 undergraduate honours degree in a non-computing subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/computer-science-msc,2026-06
uk-sheffield-adv-cs,英国,谢菲尔德大学,105,Advanced Computer Science MSc,计算机/CS,80,82,84,86,76,6.5,6,,,2:1 undergraduate honours degree in a relevant subject,官方入学要求：2:1 undergraduate honours degree in a relevant subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/advanced-computer-science-msc,2026-06
uk-sheffield-ai,英国,谢菲尔德大学,105,Artificial Intelligence MSc,数据科学/AI,80,82,84,86,76,6.5,6,,,2:1 undergraduate honours degree in a relevant subject,官方入学要求：2:1 undergraduate honours degree in a relevant subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/artificial-intelligence-msc,2026-06
uk-sheffield-cyber-ai,英国,谢菲尔德大学,105,Cybersecurity and Artificial Intelligence MSc,计算机/CS,80,82,84,86,76,6.5,6,,,2:1 undergraduate honours degree in a relevant subject,官方入学要求：2:1 undergraduate honours degree in a relevant subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/cybersecurity-and-artificial-intelligence-msc,2026-06
uk-sheffield-ba,英国,谢菲尔德大学,105,Business Analytics MSc,商业分析,80,82,84,85,76,6.5,6,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/business-analytics-msc,2026-06
uk-sheffield-fintech,英国,谢菲尔德大学,105,Financial Technology and Innovation MSc,金融工程,81,83,85,86,77,6.5,6,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/financial-technology-and-innovation-msc,2026-06
uk-sheffield-facc,英国,谢菲尔德大学,105,Finance and Accounting MSc,会计,80,82,84,85,76,6.5,6,,,2:1 undergraduate honours degree in any subject,官方入学要求：2:1 undergraduate honours degree in any subject,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/finance-and-accounting-msc,2026-06
uk-sheffield-mbf,英国,谢菲尔德大学,105,"Money, Banking and Finance MSc",金融,80,82,84,85,76,6.5,6,,,2:1 undergraduate honours degree in economics or a degree which meets the module requirements below,官方入学要求：2:1 undergraduate honours degree in economics or a degree which meets the module requirements below,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/money-banking-and-finance-msc,2026-06
uk-sheffield-econ,英国,谢菲尔德大学,105,Economics MSc,经济学,80,82,84,86,76,6.5,6,,,2:1 undergraduate honours degree in economics or a degree which meets the module requirements below,官方入学要求：2:1 undergraduate honours degree in economics or a degree which meets the module requirements below,,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/economics-msc,2026-06
uk-sheffield-bfe,英国,谢菲尔德大学,105,Business Finance and Economics MSc,经济学,79,81,83,85,75,6.5,6,,,"2:1 undergraduate honours degree in economics, engineering, computer science or a minimum 2:1 Bachelor of Commerce or Bachelor of Business Administratio","官方入学要求：2:1 undergraduate honours degree in economics, engineering, computer science or a minimum 2:1 Bachelor of Commerce or Bachelor of Business Administratio",,1 年,9 月入学；国际生名额有限、多轮滚动审理，招满即止，建议尽早递交（以官网 Deadlines 页为准）,https://www.sheffield.ac.uk/postgraduate/taught/courses/2026/business-finance-and-economics-msc,2026-06
