id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-stir-acai,英国,斯特林大学,431,Advanced Computing with AI MSc,数据科学/AI,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree in computer science or a closely related subject such,官方入学要求：minimum of a second class honours degree in computer science or a closely related subject such；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/advanced-computing-artificial-intelligence/,2026-07
uk-stir-dmbm,英国,斯特林大学,431,Digital Marketing & Brand Management MSc,数字营销,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree or equivalent,官方入学要求：minimum of a second class honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/digital-marketing-brand-management/,2026-07
uk-stir-dmc,英国,斯特林大学,431,Digital Media & Communication MSc,数字媒体/传媒,76,78,80,82,72,6.0,5.5,,,Honours degree or international equivalent,官方入学要求：Honours degree or international equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/digital-media-and-communication/,2026-07
uk-stir-envmgmt,英国,斯特林大学,431,Environmental Management MSc,环境管理,76,78,80,82,72,6.5,5.5,,,"minimum of a second class honours degree (2:1 preferred) or equivalent in a relevant subject, s","官方入学要求：minimum of a second class honours degree (2:1 preferred) or equivalent in a relevant subject, s；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/environmental-management/,2026-07
uk-stir-healthpsy,英国,斯特林大学,431,Health Psychology MSc,心理学,78,80,82,84,74,6.5,6.0,,,2.1 honours degree in Psychology or related subject or a Psychology (Conv,官方入学要求：2.1 honours degree in Psychology or related subject or a Psychology (Conv；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/health-psychology/,2026-07
uk-stir-icc,英国,斯特林大学,431,International Conflict & Cooperation MSc,国际关系/政治,76,78,80,82,72,6.0,5.5,,,minimum of a second class Honours degree (2,官方入学要求：minimum of a second class Honours degree (2；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/international-conflict-cooperation/,2026-07
uk-stir-ienvlaw,英国,斯特林大学,431,International Environmental Law LLM,环境法/法律,76,78,80,82,72,6.0,5.5,,,Honours degree or equivalent,官方入学要求：Honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/international-environmental-law/,2026-07
uk-stir-sportba,英国,斯特林大学,431,Sport Business Analytics MSc,体育商业分析,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree (2,官方入学要求：minimum of a second class honours degree (2；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/sport-business-analytics/,2026-07
uk-stir-prm,英国,斯特林大学,431,Psychological Research Methods MSc,心理学,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree (2,官方入学要求：minimum of a second class honours degree (2；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/psychological-research-methods-general/,2026-07
uk-stir-finda,英国,斯特林大学,431,Finance & Data Analytics MSc,金融/数据分析,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree or equivalent,官方入学要求：minimum of a second class honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/finance-data-analytics/,2026-07
uk-stir-melt,英国,斯特林大学,431,Management & English Language Teaching MSc,管理/英语教学,78,80,82,84,74,6.5,6.0,,,minimum of a second class Honours degree (2:1 preferred) or equivalent,官方入学要求：minimum of a second class Honours degree (2:1 preferred) or equivalent；雅思总分 6.5、单项不低于 6.0（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/management-english-language-teaching/,2026-07
