id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-stir-fin,英国,斯特林大学,431,Finance MSc,金融,76,78,80,82,72,6.0,5.5,,,minimum of a second class Honours degree or equivalent,官方入学要求：minimum of a second class Honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/finance/,2026-07
uk-stir-finrisk,英国,斯特林大学,431,Finance & Risk Management MSc,金融风险,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree or equivalent,官方入学要求：minimum of a second class honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/finance-risk-management/,2026-07
uk-stir-iaf,英国,斯特林大学,431,International Accounting & Finance MSc,会计与金融,76,78,80,82,72,6.0,5.5,,,minimum of a second class Honours degree or equivalent,官方入学要求：minimum of a second class Honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/international-accounting-finance/,2026-07
uk-stir-ba,英国,斯特林大学,431,Business Analytics MSc,商业分析,76,78,80,82,72,6.0,5.5,,,"minimum of a second class Honours degree in any subject, or an equivalent qualification","官方入学要求：minimum of a second class Honours degree in any subject, or an equivalent qualification；雅思总分 6.0、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/business-analytics/,2026-07
uk-stir-ds,英国,斯特林大学,431,Data Science MSc,数据科学/AI,76,78,80,82,72,6.0,5.5,,,官方要求英国二等荣誉学位或同等学历（详见官方课程页）,官方入学要求：官方要求英国二等荣誉学位或同等学历（详见官方课程页）；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/data-science/,2026-07
uk-stir-bm,英国,斯特林大学,431,Business Management MSc,管理学/商科,76,78,80,82,72,6.0,5.5,,,Honours degree or equivalent,官方入学要求：Honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/business-management/,2026-07
uk-stir-ai,英国,斯特林大学,431,Artificial Intelligence MSc,数据科学/AI,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree (2,官方入学要求：minimum of a second class honours degree (2；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/artificial-intelligence/,2026-07
uk-stir-bigdata,英国,斯特林大学,431,Big Data MSc,数据科学/AI,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree (2,官方入学要求：minimum of a second class honours degree (2；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/big-data/,2026-07
uk-stir-mkt,英国,斯特林大学,431,Marketing MSc,市场营销,76,78,80,82,72,6.0,5.5,,,"minimum of a second class honours degree, or equivalent","官方入学要求：minimum of a second class honours degree, or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/marketing/,2026-07
uk-stir-mktanl,英国,斯特林大学,431,Marketing Analytics MSc,市场营销,76,78,80,82,72,6.0,5.5,,,minimum of a second class honours degree or equivalent,官方入学要求：minimum of a second class honours degree or equivalent；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.stir.ac.uk/courses/pg-taught/marketing-analytics/,2026-07
