id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-strath-fintech,英国,斯特拉斯克莱德大学,276,Financial Technology MSc,金融科技,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent (","官方入学要求：second-class Honours degree, or overseas equivalent (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/financialtechnology/,2026-07
uk-strath-fin,英国,斯特拉斯克莱德大学,276,Finance MSc,金融,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent - see our international studen","官方入学要求：second-class Honours degree, or overseas equivalent - see our international studen；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/finance/,2026-07
uk-strath-intmgmt,英国,斯特拉斯克莱德大学,276,International Management MSc,管理学/商科,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent (","官方入学要求：second-class Honours degree, or overseas equivalent (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/internationalmanagement/,2026-07
uk-strath-mkt,英国,斯特拉斯克莱德大学,276,Marketing MSc,市场营销,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent , in a non-marketing disciplin","官方入学要求：second-class Honours degree, or overseas equivalent , in a non-marketing disciplin；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/marketing/,2026-07
uk-strath-hrm,英国,斯特拉斯克莱德大学,276,Human Resource Management MSc,人力资源,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent (","官方入学要求：second-class Honours degree, or overseas equivalent (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/humanresourcemanagement/,2026-07
uk-strath-bac,英国,斯特拉斯克莱德大学,276,Business Analysis & Consulting MSc,商业分析/咨询,76,78,80,82,72,6.5,5.5,,,"second-class Honours degree, or overseas equivalent (","官方入学要求：second-class Honours degree, or overseas equivalent (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/businessanalysisconsulting/,2026-07
uk-strath-da,英国,斯特拉斯克莱德大学,276,Data Analytics MSc,数据分析,76,78,80,82,72,6.5,5.5,,,"Honours degree, or overseas equivalent ( see our country pages for further informati","官方入学要求：Honours degree, or overseas equivalent ( see our country pages for further informati；雅思总分 6.5、单项不低于 5.5（取自官方课程页）",,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/dataanalytics/,2026-07
uk-strath-ecofin,英国,斯特拉斯克莱德大学,276,Economics & Finance MSc,经济/金融,76,78,80,82,72,6.5,5.5,,,second-class honours degree or overseas equivalent (,官方入学要求：second-class honours degree or overseas equivalent (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/economicsfinance/,2026-07
uk-strath-appecon,英国,斯特拉斯克莱德大学,276,Applied Economics MSc,应用经济,76,78,80,82,72,6.5,5.5,,,second-class honours degree or overseas equivalent in any subject (,官方入学要求：second-class honours degree or overseas equivalent in any subject (；雅思总分 6.5、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/appliedeconomics/,2026-07
uk-strath-ads,英国,斯特拉斯克莱德大学,276,Advanced Data Science MSc,数据科学/AI,74,76,78,80,70,6.0,5.5,,,second-class (2:2) Honours degree or overseas equivalent* in a mathematical discip,官方入学要求：second-class (2:2) Honours degree or overseas equivalent* in a mathematical discip；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/advanceddatascience/,2026-07
uk-strath-actsci,英国,斯特拉斯克莱德大学,276,Actuarial Science MSc,精算学,74,76,78,80,70,6.0,5.5,,,second-class honours degree or international equivalent in: engineering science su,官方入学要求：second-class honours degree or international equivalent in: engineering science su；雅思总分 6.0、单项不低于 5.5（取自官方课程页）,,1 年,9 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.strath.ac.uk/courses/postgraduatetaught/actuarialscience/,2026-07
