id,country,university,qsRank,program,field,a985,a211,asy,asf,ahb,ielts_overall,ielts_sub,gre_total,gre_quant,background,notes,tuition,duration,timeline,sourceUrl,lastVerified
uk-surrey-ai,英国,萨里大学 Surrey,305,Artificial Intelligence MSc,人工智能,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/artificial-intelligence-msc,2026-07
uk-surrey-ba,英国,萨里大学 Surrey,305,Business Analytics MSc,商业分析,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/business-analytics-msc,2026-07
uk-surrey-cyber,英国,萨里大学 Surrey,305,Cyber Security MSc,网络安全,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/cyber-security-msc,2026-07
uk-surrey-cvml,英国,萨里大学 Surrey,305,"Computer Vision, Robotics & Machine Learning MSc",计算机视觉与机器学习,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/computer-vision-robotics-and-machine-learning-msc,2026-07
uk-surrey-econ,英国,萨里大学 Surrey,305,Economics MSc,经济学,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/economics-msc,2026-07
uk-surrey-ibm,英国,萨里大学 Surrey,305,International Business Management MSc,国际商务管理,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/international-business-management-msc,2026-07
uk-surrey-hrm,英国,萨里大学 Surrey,305,Human Resources Management MSc,人力资源管理,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/human-resources-management-msc,2026-07
uk-surrey-accfin,英国,萨里大学 Surrey,305,Accounting & Finance MSc,会计与金融,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/accounting-and-finance-msc,2026-07
uk-surrey-bankfin,英国,萨里大学 Surrey,305,Banking & Finance MSc,银行与金融,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/banking-and-finance-msc,2026-07
uk-surrey-econfin,英国,萨里大学 Surrey,305,Economics & Finance MSc,经济与金融,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/economics-and-finance-msc,2026-07
uk-surrey-eim,英国,萨里大学 Surrey,305,Entrepreneurship & Innovation Management MSc,创业与创新管理,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/entrepreneurship-innovation-management-msc,2026-07
uk-surrey-aiconv,英国,萨里大学 Surrey,305,Artificial Intelligence (Conversion) MSc,人工智能转换,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/artificial-intelligence-conversion-msc,2026-07
uk-surrey-dsconv,英国,萨里大学 Surrey,305,Data Science (Conversion) MSc,数据科学转换,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/data-science-conversion-msc,2026-07
uk-surrey-eee,英国,萨里大学 Surrey,305,Electronic Engineering MSc,电子工程,74,77,79,82,70,6.5,6.0,,,英国二等荣誉学位或同等学历（以官网为准）,雅思总分 6.5、单项不低于 6.0（取自官方课程页）；通常要求英国二等荣誉学位或同等学历，具体以官网为准,,1 年,9/10 月入学；分轮次滚动审理、招满即止，建议尽早递交（以官网为准）,https://www.surrey.ac.uk/postgraduate/electronic-engineering-msc,2026-07
